"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"aSMA",2.97591045885259,2.89264671191948,2.0619532110369,2.21140656501705,4.08286936522968,3.73618721188097,2.58241251641868,1.1327901458582,2.69229163683586,2.69935693124007,2.16165951792976,2.73100672940963,3.01590928531253,1.96230886318046,2.51425982797721,1.50367214555053,6.72822666683877,1.32703690195962,1.74536114718587
"Vimentin",3.37821104743513,3.24924009249804,3.15167154160966,3.32228623441025,3.35122375429925,4.5501991569088,3.33414990163404,1.29413607668895,2.70925976611479,2.8545231362161,3.02599308979546,3.3957382961429,3.29055098661726,2.01067958884766,3.32776584984552,1.56985671697107,2.73895791285852,1.48702689400095,2.72378263785096
"CD163",0.402694737828446,0.40405465145456,0.176727409236482,0.169886005312188,0.191982472570112,0.449707772837337,0.140357776265041,0.103502592614544,0.150744051650229,0.162693506792624,0.14381465946466,0.879726457214202,0.381366191650275,0.113784328697635,0.339163148793079,0.103181851648444,0.296015888456514,0.107349274202418,0.146879880873312
"Pan_keratin",0.676144389995732,0.832594842357322,2.23832500878942,3.5481256131876,0.968748723554528,2.49119022987297,0.62290092919609,2.27515582075112,2.68581319159252,0.576098946473013,3.18727805806368,1.09865560326547,0.810181424932492,2.95434388583754,0.592109637871675,3.11107021879478,2.74596141920235,3.54289345515999,2.96401554569778
"CD15",0.832936608442817,2.18886003941423,2.76059851160552,1.49263258934423,0.64572447348504,1.73190530521548,0.48999076011641,0.817812233766149,0.847751402585346,0.481000975969531,1.29976688764595,0.695764538299568,0.726714539392886,0.825716136043927,0.759460159148725,1.00760374105342,1.08144964006862,1.02058284186411,0.782739192213473
"CD45",2.55747809901171,2.12615740011615,2.21487740484507,1.51038174281123,1.27804568932905,2.7593131331285,1.12241653322339,0.698713201745897,1.06747410113965,1.40783748906542,1.34360045366759,1.99619094292864,2.42358144863697,0.897567806663531,2.66671586446899,0.831293470382421,1.35846916833386,0.804393204623261,2.26857421505794
"FoxP3",0.975737302073894,0.41893913528478,0.443249376441252,0.595509010894366,0.518370025011544,1.08605293393761,0.38050154226497,0.297953676642813,0.418418862563003,0.36500889130429,0.553597829140257,0.448638607063134,0.642290352523854,0.416485711458303,0.447740717785764,0.438347864596823,0.71118720028294,0.413436258092235,0.503551620894253
"CD4",1.4283236174959,0.654936344863439,0.552702103179419,0.627937276752383,0.548115655369699,0.992378999795695,0.427892069601122,0.331986228771863,0.497176749338023,0.481094061752909,0.585452276574236,0.837229559155311,0.925871907536208,0.47312805339398,0.751875371690919,0.474769120617428,0.782430869009364,0.476054778584613,0.67418681022768
"Ecadherin",0.941502959107822,0.895920430379288,1.70213656563714,2.60796794927269,0.908169722672892,1.84845504145062,0.689982599228979,1.46052233030332,1.72786855398307,0.677520432903831,2.53253560673648,0.908851197198136,1.02442593493161,2.22538454803234,0.820419820820266,2.37041539517842,2.00770877108289,2.41245800575559,2.13818347127794
"CD68",1.04514696419439,1.45413414401312,0.963391959558488,0.547878866460601,0.399012469427075,1.08531372006644,0.409737838025482,0.46208681346367,0.428177103631117,0.439790864185514,0.436592283945059,2.4611743305286,1.07528912952352,0.318469485484868,1.15160928339196,0.28819743776951,0.619141484624622,0.383692793100424,0.451255686723084
"CD8a",1.19847735623038,1.15887440171489,1.22934758819098,1.21602745223462,0.859035992130927,1.49633741848546,0.829732033554208,0.76542434087915,0.98330545595709,0.808798099429003,1.10385237026365,1.13991745302957,1.43417500942326,0.987932768825921,2.44883277931928,0.967718269780003,1.09587732166555,0.987167110749058,2.57314983254898
"GranzymeB",1.31825210552921,3.27040441082538,3.70008595958353,1.57078060976796,1.09444467569676,2.09024728148902,0.883047128651303,0.71749157487391,1.05709293060604,0.861739366953741,1.68719119746163,1.06680821532279,1.47352591763189,1.26051822667403,1.44948513305798,1.3872487630245,1.44015830337724,1.0955011034152,1.48734532037295
"Ki67",0.814309314174706,0.997541100559159,1.40562305541452,1.68287521123866,0.740563777769209,2.09087865838317,0.45700579932379,0.574702963495828,1.05690402202687,0.470255999976503,3.04040309336637,0.654992800106886,3.05103603128963,1.60318288642663,0.664552733421929,2.9956908684184,1.86640927165435,1.05567014465471,2.02102558528057
"CollagenI",2.80333104020497,2.83393049352998,1.65982831819091,1.87896794614735,2.97891712327974,3.24059333526985,1.85551008013256,0.983076490079237,2.97262275875344,3.045752999898,1.8436868631533,2.69703834860417,2.7067754574523,1.45680705152007,2.39757724712142,1.10832378783442,2.3199967455286,0.94073729759098,1.56776741824925
"CD3",1.76941050206396,0.653726552458306,0.553245898914491,0.655054973833618,0.541570132858465,1.01820010547353,0.413580500109446,0.373785295765072,0.604745020804754,0.520314630720533,0.635637937108822,0.641336681001402,1.21585238397432,0.498709942188704,1.60854371466349,0.49954309696128,0.681099944491059,0.450205353085333,1.64605343231668
"CD45RO",2.87229161495406,2.33629766824066,2.34414688699867,2.09288227387315,1.7974417051602,2.38136252165611,1.63888728029,1.45749956670263,1.89420522902302,1.93900514278899,2.2605340229886,2.1145311510709,2.60832836476015,2.2688297120309,2.75996004676397,2.17514212804953,2.16229927139013,1.85540457549747,2.64584308441339
